gene_symbol,Rab3gap2
mouse_life_stage,Early adult
analysis_id,27468255417won4
parameter_name,cDCs CD11b Type
gene_accession_id,MGI:1916043
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
pvalue,0.4292576
