parameter_id,JAXLA_GRS_011_001
gene_symbol,Mecom
pvalue,0.9312874
gene_accession_id,MGI:95457
mouse_strain,C57BL
analysis_id,9c5561a93thvqks
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,E12.5
