gene_symbol,Secisbp2l
analysis_id,olfi1095dsmjb0h
parameter_name,Distance travelled - total
mouse_strain,C57BL
gene_accession_id,MGI:1917604
pvalue,0.5312894
mouse_life_stage,Late adult
parameter_id,HRWLLA_OFD_020_001
