analysis_id,ywfcj0lj5962ly4
pvalue,0.3388942
mouse_life_stage,Early adult
parameter_name,Mean-cell-volume
gene_symbol,Stk35
mouse_strain,C57BL
parameter_id,M-G-P_016_001_005
gene_accession_id,MGI:1914583
