analysis_id,pjiuf0rx3c735c2
parameter_name,Cholesterol ratio
gene_accession_id,MGI:1915325
mouse_life_stage,Early adult
gene_symbol,Lurap1
mouse_strain,C57BL
pvalue,0.9208827
parameter_id,IMPC_CBC_058_001
