parameter_id,IMPC_GRS_009_001
pvalue,0.9400479
mouse_life_stage,E9.5
gene_symbol,Wars2
parameter_name,Forelimb and hindlimb grip strength measurement mean
analysis_id,rx8n3t6spn592wh
mouse_strain,C57BL
gene_accession_id,MGI:1917810
