parameter_name,PR
parameter_id,IMPC_ECG_006_001
mouse_strain,C57BL
gene_symbol,Bmi1
analysis_id,7vwt3av36u164dm
pvalue,0.1780021
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
