gene_symbol,Hrnr
gene_accession_id,MGI:3046938
parameter_id,M-G-P_020_001_001
parameter_name,Body Weight
analysis_id,x5x4p864d9b823h
mouse_life_stage,Early adult
pvalue,0.9942793
mouse_strain,C57BL
