analysis_id,059260316q77a0d
parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
pvalue,0.8304971
gene_symbol,Ppm1j
