gene_symbol,Ppm1j
mouse_strain,C57BL
pvalue,0.7089198
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_017_001
analysis_id,q2d06o0ks4o46w1
parameter_name,Triglycerides
