analysis_id,2k0749yyid8f510
gene_accession_id,MGI:99605
parameter_id,IMPC_CSD_028_001
pvalue,0.6289665
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Snout size
gene_symbol,Cntfr
