gene_symbol,Sema6c
pvalue,0.1512273
gene_accession_id,MGI:1338032
analysis_id,1qx4is5k462m71t
parameter_id,IMPC_GRS_009_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength measurement mean
