gene_symbol,Orc2
gene_accession_id,MGI:1328306
mouse_strain,C57BL
parameter_name,Periphery average speed
parameter_id,IMPC_OFD_013_001
pvalue,0.4442266
mouse_life_stage,E9.5
analysis_id,glox789yr6p571g
