parameter_name,Respiration Rate
gene_symbol,Inpp1
analysis_id,3525lt300vveb06
mouse_life_stage,Early adult
pvalue,0.9516427
gene_accession_id,MGI:104848
mouse_strain,129SV
parameter_id,IMPC_ECH_018_001
