analysis_id,k897756958u01bw
pvalue,0.08958823
gene_symbol,Tatdn3
parameter_name,Total bilirubin
gene_accession_id,MGI:1916222
mouse_strain,C57BL
parameter_id,IMPC_CBC_008_001
mouse_life_stage,Early adult
