analysis_id,4tu988152jga72d
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_704
gene_symbol,Psmd14
pvalue,0.5821994
mouse_strain,C57BL
gene_accession_id,MGI:1913284
parameter_name,Prepulse inhibition - PP4
