analysis_id,zzn5xjge57847zx
parameter_id,IMPC_XRY_067_001
pvalue,0.8767923
gene_symbol,Bpifa3
parameter_name,Caudal processes
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
mouse_strain,129SV
