analysis_id,72fz8gl7eaxb223
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
gene_symbol,Wars2
parameter_id,M-G-P_005_001_004
pvalue,0.6596853
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
