parameter_name,Embryo turning
gene_accession_id,MGI:1915087
analysis_id,7zj54e7cr340k9o
pvalue,0.4965117
mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_id,IMPC_GEL_011_001
gene_symbol,Tiprl
