analysis_id,7p9af559p0r83vl
gene_accession_id,MGI:3045306
parameter_id,IMPC_ACS_033_001
gene_symbol,Exd1
pvalue,0.2028616
parameter_name,% Pre-pulse inhibition - PPI1
mouse_strain,C57BL
mouse_life_stage,Early adult
