gene_symbol,Exd1
parameter_name,Platelet count
pvalue,0.8682728
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
analysis_id,0m4o5mc40g5d770
