Analysis_id,r38z7c1eb0uh170
Gene_symbol,Golm2
Parameter_id,IMPC_XRY_027_001
Gene_accession_id,MGI:2443129
Mouse_strain,C57BL
Parameter_name,Joints
Mouse_life_stage,Early adult
Pvalue,0.9306396
