parameter_name,Iron
parameter_id,IMPC_CBC_011_001
gene_symbol,Ints7
mouse_strain,C57BL
analysis_id,1f2lh6zhadd5i2e
gene_accession_id,MGI:1924315
pvalue,0.1093223
mouse_life_stage,E9.5
