analysis_id,yp1n9h8o6wn7kma
parameter_id,IMPC_GEL_017_002
mouse_strain,C57BL
parameter_name,Pale yolk sac
mouse_life_stage,Early adult
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
pvalue,0.4388395
