gene_symbol,Trim46
parameter_name,12kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_006_001
mouse_strain,C57BL
gene_accession_id,MGI:2673000
pvalue,0.6275173
mouse_life_stage,Early adult
analysis_id,19ov10trx6b7n0f
