parameter_name,Tibia length
gene_accession_id,MGI:104640
parameter_id,IMPC_XRY_033_001
pvalue,0.464784
mouse_life_stage,Early adult
gene_symbol,Rab17
analysis_id,db0492i0is04578
mouse_strain,C57BL
