parameter_name,Eyelid morphology
gene_symbol,Ahcy
mouse_life_stage,E9.5
mouse_strain,C57BL
analysis_id,9j472664331jqel
gene_accession_id,MGI:87968
parameter_id,IMPC_EYE_004_001
pvalue,0.7340802
