analysis_id,gb1950i61lz96th
parameter_id,HRWLLA_OFD_011_001
gene_symbol,Pum1
parameter_name,Periphery resting time
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1208882
