parameter_id,HMGULA_HEM_001_001
mouse_life_stage,E9.5
mouse_strain,C57BL
pvalue,0.9141008
gene_accession_id,MGI:1914515
parameter_name,White blood cell count
gene_symbol,Slc39a10
analysis_id,146ruyqdl934dbz
