analysis_id,52avjmow203475s
pvalue,0.1122232
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_005_002
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
