analysis_id,iek3wh5vr81x788
gene_accession_id,MGI:2684980
parameter_id,JAXLA_EYE_092_001
gene_symbol,Mms22l
pvalue,0.6345798
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Retina (combined)
