gene_symbol,Psmd14
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Effector Treg cells - % of Treg
parameter_id,MGP_MLN_009_001
pvalue,0.8092522
analysis_id,242zy479122019w
gene_accession_id,MGI:1913284
