gene_symbol,Ncaph
analysis_id,tuk81v5p819683x
pvalue,0.7577037
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2444777
parameter_id,IMPC_LDT_006_001
parameter_name,Latency to first transition into dark
