parameter_name,Pericardium Morphology
analysis_id,46jx7trc7787km7
parameter_id,IMPC_GEL_006_001
gene_accession_id,MGI:1913483
gene_symbol,Dmap1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.7860106
