gene_symbol,Hpca
gene_accession_id,MGI:1336200
analysis_id,hx968zbc79hdwfv
pvalue,0.5088759
mouse_life_stage,Middle aged adult
parameter_id,M-G-P_014_001_010
mouse_strain,C57BL
parameter_name,lens opacity
