gene_symbol,Trp53i11
parameter_name,Neutrophil differential count
parameter_id,IMPC_HEM_029_001
analysis_id,0f86cm145al5fsz
pvalue,0.5075953
mouse_strain,C57BL
gene_accession_id,MGI:2670995
mouse_life_stage,Early adult
