parameter_name,Neutrophil percentage
analysis_id,3ac53x2i030652p
parameter_id,MGP_PBI_019_001
mouse_strain,C57BL
gene_accession_id,MGI:2140475
gene_symbol,AU040320
pvalue,0.778106
mouse_life_stage,Late adult
