parameter_name,Mean corpuscular hemoglobin
mouse_life_stage,Early adult
pvalue,0.3650803
mouse_strain,C57BL
parameter_id,IMPC_HEM_006_001
analysis_id,478q0y6s4m08bw7
gene_accession_id,MGI:2448481
gene_symbol,Mgst2
