analysis_id,e5g18h76b403f6g
gene_accession_id,MGI:3026886
parameter_id,MGP_PBI_031_001
gene_symbol,Cdin1
pvalue,0.2442492
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,KLRG1+ mature NK cell number
