analysis_id,k57x182091q5205
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Total CD4+ T cells - % of CD45+
gene_symbol,Pglyrp3
pvalue,0.8912959
gene_accession_id,MGI:2685266
parameter_id,MGP_MLN_064_001
