analysis_id,lwbph5zbbwep702
parameter_id,IMPC_ECG_004_001
pvalue,0.9643873
mouse_strain,C57BL
parameter_name,RR
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
