analysis_id,838zy8027i4431t
pvalue,0.7723395
mouse_life_stage,Early adult
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
parameter_id,TCPLA_GRS_011_001
gene_accession_id,MGI:2444777
mouse_strain,C57BL
gene_symbol,Ncaph
