gene_symbol,Hspa5
analysis_id,og9515rgomte2dv
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_OFD_011_001
parameter_name,Periphery resting time
pvalue,0.9839773
gene_accession_id,MGI:95835
