gene_symbol,Tubb4b
parameter_name,Distance travelled - total
analysis_id,27p5ep98skbq502
parameter_id,JAX_OFD_020_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8929213
gene_accession_id,MGI:1915472
