parameter_name,Creatinine
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_005_001
gene_symbol,Ola1
analysis_id,72222nwq9568pz9
pvalue,0.7343428
gene_accession_id,MGI:1914309
