analysis_id,2wn37d5i688a250
gene_accession_id,MGI:1915848
mouse_strain,C57BL
gene_symbol,Dnajc8
parameter_id,IMPC_OFD_017_001
pvalue,0.2136974
parameter_name,Center average speed
mouse_life_stage,Early adult
