gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
mouse_life_stage,Early adult
parameter_name,Eye
pvalue,0.4188531
parameter_id,M-G-P_013_001_001
analysis_id,gmz4e8u0hi2o08c
mouse_strain,C57BL
