analysis_id,2668ktgf1xn37t1
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_name,Coat - color pattern - back
parameter_id,HRWLLA_CSD_008_001
gene_symbol,Slc30a4
pvalue,0.20207
