gene_symbol,Hrnr
mouse_strain,C57BL
analysis_id,kz27m285y498w53
parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
mouse_life_stage,Early adult
pvalue,0.355262
gene_accession_id,MGI:3046938
