analysis_id,ta87ltmm8vpkci7
parameter_id,IMPC_CBC_024_001
parameter_name,UIBC (unsaturated iron binding capacity)
pvalue,0.1718258
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
gene_symbol,Ssr2
mouse_strain,C57BL
