parameter_name,Right kidney weight
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
gene_symbol,Kdm5b
analysis_id,b8n32q068523997
mouse_strain,C57BL
parameter_id,IMPC_OWT_004_001
pvalue,0.5948601
