gene_symbol,Pum1
parameter_name,KLRG1+ NK cells - % of CD45+
gene_accession_id,MGI:1931749
mouse_strain,C57BL
analysis_id,e0z1jf2t929764t
pvalue,0.1652335
mouse_life_stage,Early adult
parameter_id,MGP_MLN_093_001
