gene_symbol,Ssr2
parameter_name,Total CD4+ T cells - % of CD45+
mouse_strain,C57BL
analysis_id,o123n3r39zoi7sv
gene_accession_id,MGI:1913506
pvalue,0.8243652
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
