gene_symbol,Nanp
parameter_id,IMPC_XRY_065_001
gene_accession_id,MGI:1914561
analysis_id,71871521g690ml0
pvalue,0.502976
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Lumbar processes
