gene_symbol,Kifap3
mouse_life_stage,Early adult
pvalue,0.177056
analysis_id,k60n1j7u2ao1h7c
mouse_strain,C57BL
gene_accession_id,MGI:107566
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
