analysis_id,cqd1n83y9h3o4oq
gene_symbol,Hspa5
pvalue,0.07279038
parameter_id,ESLIM_016_001_002
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,Red blood cell count
mouse_life_stage,E12.5
