analysis_id,j2vy5hh1lpz6yy2
gene_symbol,Trdmt1
parameter_id,IMPC_IMM_050_001
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
parameter_name,Neutrophils
mouse_strain,C57BL
pvalue,0.9630367
