analysis_id,99b523r1z6iuy52
gene_accession_id,MGI:1920344
gene_symbol,SGIP1
parameter_name,Periphery resting time
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1881843
parameter_id,IMPC_OFD_011_001
