parameter_name,lens opacity
gene_accession_id,MGI:2685277
mouse_strain,C57BL
pvalue,0.1841031
parameter_id,M-G-P_014_001_010
mouse_life_stage,Early adult
analysis_id,39c42d6j8fchho8
gene_symbol,Zyg11b
