parameter_name,Cholesterol ratio
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
parameter_id,IMPC_CBC_058_001
gene_symbol,Gpbp1l1
analysis_id,8468o5k3h9os707
pvalue,0.7301579
