analysis_id,61z8d992u01s2s2
parameter_id,IMPC_GEL_027_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1923029
pvalue,0.1114289
parameter_name,Neural tube closure
mouse_strain,C57BL
gene_symbol,Dnaaf9
