gene_symbol,Amigo1
mouse_life_stage,Early adult
pvalue,0.1066003
mouse_strain,C57BL
parameter_id,IMPC_CSD_008_001
parameter_name,Coat - color pattern - back
gene_accession_id,MGI:2653612
analysis_id,5n1937b0b61xwpu
