analysis_id,110q63lp2oi670p
mouse_strain,C57BL
gene_symbol,Opn3
pvalue,0.2998885
parameter_id,IMPC_OFD_022_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
parameter_name,Percentage center time
