gene_symbol,Tiprl
pvalue,0.4518454
mouse_life_stage,E12.5
analysis_id,f4ylrld47dt7xye
gene_accession_id,MGI:1915087
parameter_name,MZB (CD21/35 high)
parameter_id,IMPC_IMM_071_001
mouse_strain,C57BL
